Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-103.88217,2.647093,-129.27623,-100.22571,15.641659,2.0,72.0,-0.099929675,-0.43534556,0.25419042,-7.6913548,-11.442092,0.024654225,7.6913548,61.65921,-0.10191414,-39.871895,0.7436313,0.0015449261,80.0,37656,0.98675966,0.0003,-92.87608337402344,10.373066902160645,0.508999994180536,32000,2,11621
2,-104.31518,3.3000348,-136.42836,-100.267395,17.201086,2.0,71.0,-2.0713003,-8.591709,8.306728,-4.7942314,-17.93079,4.4384046,4.794231,37.90357,-0.13711068,-26.072975,0.7387173,0.0025494006,80.0,37656,0.98226535,0.0002985,-92.50260925292969,10.598956108093262,0.5065050014657152,64000,5,12410
3,-104.75938,3.6902206,-139.66235,-100.36373,18.788908,3.0,73.0,-6.91075,-9.878839,1.1582853,-1.2738736,-8.863893,1.2873228,1.2738736,3.124463,-0.03136917,-2.3336177,0.7337793,0.0023174682,80.0,37656,0.98889005,0.00029699999999999996,-92.0844497680664,11.060588836669922,0.504010011618452,96000,7,13682
4,-105.461845,4.702931,-149.15215,-100.35664,20.494799,3.0,85.0,-8.175038,-10.12165,-4.3406324,-0.1292278,-9.11075,1.4966984,0.12922779,0.3838458,-0.010660068,-0.14251424,0.72881675,0.0020999457,80.0,37656,0.9971139,0.00029549999999999997,-91.74913024902344,11.259882926940918,0.5015149959142412,128000,9,14226
5,-106.32179,5.2889824,-144.89897,-100.27075,23.26308,2.0,80.0,-8.317248,-9.662666,-5.9984555,0.13220313,-8.684317,1.5794283,-0.13220313,0.20567004,-0.006996596,-0.035164166,0.7238293,0.0017940057,80.0,37656,1.0010974,0.000294,-91.4071273803711,11.379371643066406,0.4990199874853069,160000,12,13798
6,-107.6935,6.3092237,-140.27612,-100.296486,27.09091,3.0,85.0,-8.215923,-9.326889,-5.9797797,0.1786475,-8.789126,1.3729652,-0.17864749,0.20415643,-0.006762636,-0.034409896,0.718817,0.0018174641,80.0,37656,1.0020158,0.00029249999999999995,-91.01441955566406,11.534039497375488,0.4965249910387956,192000,14,13992
7,-109.23363,7.802111,-146.80316,-100.185455,31.393574,2.0,87.0,-8.065986,-9.35439,-5.876345,0.20064989,-1.5430546,1.2198486,-0.20064989,0.18419848,-0.0063743764,-0.04242897,0.71377957,0.0015891112,80.0,37656,1.0024581,0.00029099999999999997,-90.50432586669922,12.065810203552246,0.49403001303756583,224000,16,14309
8,-112.28448,9.801654,-159.92561,-100.60594,37.9621,3.0,107.0,-7.89904,-9.382715,-5.5712595,0.3052459,-1.50284,1.3589022,-0.30524594,0.19115245,-0.0055047865,-0.08889189,0.7087164,0.001221502,80.0,37656,1.0071471,0.0002895,-89.95121002197266,12.741728782653809,0.4915350030951986,256000,19,14244
9,-114.201836,10.777973,-162.47856,-100.38254,41.548473,4.0,105.0,-7.5994434,-9.070377,-6.182028,0.33423743,-1.335352,1.134959,-0.3342374,0.1811806,-0.0052958066,-0.10291457,0.7036275,0.0011437614,80.0,37656,1.0089903,0.00028799999999999995,-89.57605743408203,13.032346725463867,0.48904000119877045,288000,21,14328
10,-116.42608,11.079763,-149.1808,-100.81477,45.739002,3.0,104.0,-7.268771,-8.540789,-5.978914,0.26042598,-1.3248734,1.0220801,-0.260426,0.13587211,-0.0047269505,-0.065007,0.6985127,0.0012451521,80.0,37656,1.008568,0.00028649999999999997,-89.22969818115234,13.347066879272461,0.4865449904666005,320000,23,13079
11,-119.17853,12.292329,-182.13687,-100.69091,50.89127,3.0,110.0,-6.9916162,-8.3143425,-5.036911,0.21611938,-1.8246917,0.9518186,-0.21611938,0.11483809,-0.0042528245,-0.04608783,0.69337153,0.0012254065,80.0,37656,1.0064697,0.000285,-88.84630584716797,13.827999114990234,0.4840500140318596,352000,26,14366
12,-122.38574,13.080415,-188.39,-100.75936,54.88516,3.0,107.0,-6.8015366,-8.180587,-5.2364063,0.20312296,-1.4937425,0.9326538,-0.20312294,0.09138061,-0.0037352946,-0.039656654,0.6882037,0.0011448604,80.0,37656,1.0080099,0.00028349999999999995,-88.59835815429688,14.086776733398438,0.48155500132769846,384000,28,13483
